prop_msih_cancer	prop_mss_cancer	prop_msih_norm	prop_mss_norm	mss_num_norm	mss_num_cancer	mss_tot_cells	msih_num_norm	msih_num_cancer	msih_tot_cells	sample_id	file_prefix
0.7	0.3	0.7	0.3	641	145	786	1446	229	1676	mix_7_8	mix_7_8
0.8	0.2	0.8	0.2	427	97	524	1653	262	1916	mix_8_8	mix_8_8
0.9	0.1	0.9	0.1	213	48	262	1860	295	2155	mix_9_8	mix_9_8
0.1	0.9	0.1	0.9	1923	437	2360	206	32	239	mix_1_9	mix_1_9
0.2	0.8	0.2	0.8	1709	388	2098	413	65	479	mix_2_9	mix_2_9
0.3	0.7	0.3	0.7	1495	340	1836	620	98	718	mix_3_9	mix_3_9
0.4	0.6	0.4	0.6	1282	291	1573	826	131	958	mix_4_9	mix_4_9
0.5	0.5	0.5	0.5	1068	243	1311	1033	164	1197	mix_5_9	mix_5_9
0.6	0.4	0.6	0.4	854	194	1049	1240	196	1437	mix_6_9	mix_6_9
0.7	0.3	0.7	0.3	641	145	786	1446	229	1676	mix_7_9	mix_7_9
0.8	0.2	0.8	0.2	427	97	524	1653	262	1916	mix_8_9	mix_8_9
0.9	0.1	0.9	0.1	213	48	262	1860	295	2155	mix_9_9	mix_9_9
0.1	0.9	0.1	0.9	1923	437	2360	206	32	239	mix_1_10	mix_1_10
0.2	0.8	0.2	0.8	1709	388	2098	413	65	479	mix_2_10	mix_2_10
0.3	0.7	0.3	0.7	1495	340	1836	620	98	718	mix_3_10	mix_3_10
0.4	0.6	0.4	0.6	1282	291	1573	826	131	958	mix_4_10	mix_4_10
0.5	0.5	0.5	0.5	1068	243	1311	1033	164	1197	mix_5_10	mix_5_10
0.6	0.4	0.6	0.4	854	194	1049	1240	196	1437	mix_6_10	mix_6_10
0.7	0.3	0.7	0.3	641	145	786	1446	229	1676	mix_7_10	mix_7_10
0.8	0.2	0.8	0.2	427	97	524	1653	262	1916	mix_8_10	mix_8_10
0.9	0.1	0.9	0.1	213	48	262	1860	295	2155	mix_9_10	mix_9_10
