EGAN00003484442,CRC2899_Core1,XHC170-SI-GA-B12_S1_L004_R2_001.fastq.gz,EGAF00005798551
EGAN00003484443,CRC2803_Core2,XHC109-SI-GA-E4_S1_L008_R1_001.fastq.gz,EGAF00005798520
EGAN00003484443,CRC2803_Core2,XHC109-SI-GA-E4_S1_L008_R2_001.fastq.gz,EGAF00005798521
EGAN00003484444,CRC2899_Core2,XHC171-SI-GA-C1_S1_L005_R1_001.fastq.gz,EGAF00005798544
EGAN00003484444,CRC2899_Core2,XHC171-SI-GA-C1_S1_L005_R2_001.fastq.gz,EGAF00005798545
EGAN00003484445,CRC2803_Core1,XHC108-SI-GA-E3_S1_L007_R1_001.fastq.gz,EGAF00005798516
EGAN00003484445,CRC2803_Core1,XHC108-SI-GA-E3_S1_L007_R2_001.fastq.gz,EGAF00005798517
EGAN00003484446,CRC2841_T2Invasive2,XHC148-SI-GA-A7_S1_L008_R1_001.fastq.gz,EGAF00005798562
EGAN00003484446,CRC2841_T2Invasive2,XHC148-SI-GA-A7_S1_L008_R2_001.fastq.gz,EGAF00005798563
EGAN00003484447,CRC2801_Normal,XHC107-SI-GA-D4_S1_L006_R1_001.fastq.gz,EGAF00005798476
EGAN00003484447,CRC2801_Normal,XHC107-SI-GA-D4_S1_L006_R2_001.fastq.gz,EGAF00005798477
EGAN00003484448,CRC2841_T2LymphNode,XHC150-SI-GA-A9_S1_L002_R1_001.fastq.gz,EGAF00005798532
EGAN00003484448,CRC2841_T2LymphNode,XHC150-SI-GA-A9_S1_L002_R2_001.fastq.gz,EGAF00005798533
EGAN00003484449,CRC2899_Invasive1,XHC172-SI-GA-C2_S1_L006_R1_001.fastq.gz,EGAF00005798540
EGAN00003484449,CRC2899_Invasive1,XHC172-SI-GA-C2_S1_L006_R2_001.fastq.gz,EGAF00005798541
EGAN00003484450,CRC2803_Invasive2,XHC111-SI-GA-E6_S1_L002_R1_001.fastq.gz,EGAF00005798524
EGAN00003484450,CRC2803_Invasive2,XHC111-SI-GA-E6_S1_L002_R2_001.fastq.gz,EGAF00005798525
EGAN00003484451,CRC2803_Normal,XHC112-SI-GA-E7_S1_L003_R1_001.fastq.gz,EGAF00005798570
EGAN00003484451,CRC2803_Normal,XHC112-SI-GA-E7_S1_L003_R2_001.fastq.gz,EGAF00005798571
EGAN00003484452,CRC2810_Core1,XHC113-SI-GA-E8_S1_L004_R1_001.fastq.gz,EGAF00005798566
EGAN00003484452,CRC2810_Core1,XHC113-SI-GA-E8_S1_L004_R2_001.fastq.gz,EGAF00005798567
EGAN00003484453,CRC2801_LymphNode,XHC106-SI-GA-D3_S1_L005_R1_001.fastq.gz,EGAF00005798474
EGAN00003484453,CRC2801_LymphNode,XHC106-SI-GA-D3_S1_L005_R2_001.fastq.gz,EGAF00005798475
EGAN00003484454,CRC2810_Core2,XHC114-SI-GA-E9_S1_L005_R1_001.fastq.gz,EGAF00005798568
EGAN00003484454,CRC2810_Core2,XHC114-SI-GA-E9_S1_L005_R2_001.fastq.gz,EGAF00005798569
